,Threshold Attack Precision,Threshold Attack Recall,Threshold Attack AUROC,Threshold Attack AUPR,Threshold Attack FPR@95%TPR,Threshold Attack FPR,Threshold Attack TP_MMPS,Threshold Attack FP_MMPS,Threshold Attack FN_MMPS,Threshold Attack TN_MMPS,Salem Attack Precision,Salem Attack Recall,Salem Attack AUROC,Salem Attack AUPR,Salem Attack FPR@95%TPR,Salem Attack FPR,Salem Attack TP_MMPS,Salem Attack FP_MMPS,Salem Attack FN_MMPS,Salem Attack TN_MMPS,Entropy Attack Precision,Entropy Attack Recall,Entropy Attack AUROC,Entropy Attack AUPR,Entropy Attack FPR@95%TPR,Entropy Attack FPR,Entropy Attack TP_MMPS,Entropy Attack FP_MMPS,Entropy Attack FN_MMPS,Entropy Attack TN_MMPS
Original,0.6099,0.8180,0.6690,0.6139,0.7112,0.5232,0.9995,0.9993,0.9127,0.8059,0.5993,0.8692,0.6685,0.5988,0.7056,0.5812,0.9991,0.9985,0.8858,0.7788,0.6186,0.7688,0.6692,0.5980,0.7140,0.4740,0.9997,0.9997,0.9317,0.8209
Permuted,0.7889,0.8164,0.8779,0.8755,0.4588,0.2184,0.9995,0.9988,0.9164,0.7474,0.7496,0.8692,0.8764,0.8722,0.4500,0.2904,0.9990,0.9967,0.8854,0.7235,0.8130,0.7704,0.8818,0.8779,0.4468,0.1772,0.9997,0.9994,0.9316,0.7595
Scaled,0.9990,0.8180,0.9881,0.9914,0.0188,0.0008,0.9995,0.9400,0.9148,0.5925,1.0000,0.8664,0.9921,0.9940,0.0140,0.0000,0.9990,1.0000,0.8871,0.5952,1.0000,0.7684,0.9923,0.9932,0.0124,0.0000,0.9997,0.0000,0.9325,0.5945
No Normalization,0.8655,0.8208,0.9221,0.9211,0.3524,0.1276,0.9995,0.9985,0.9161,0.7259,0.8271,0.8708,0.9230,0.9202,0.3384,0.1820,0.9990,0.9958,0.8844,0.7087,0.8896,0.7668,0.9268,0.9238,0.3280,0.0952,0.9997,0.9992,0.9329,0.7354
STL-10,0.6745,0.8172,0.7555,0.6935,0.6080,0.3944,0.9995,0.9992,0.9156,0.7847,0.6594,0.8688,0.7563,0.6847,0.6088,0.4488,0.9990,0.9984,0.8854,0.7658,0.6853,0.7684,0.7561,0.6838,0.6044,0.3528,0.9997,0.9996,0.9323,0.7985
CIFAR100,0.7881,0.8196,0.8735,0.8606,0.4636,0.2204,0.9995,0.9986,0.9145,0.7670,0.7507,0.8684,0.8728,0.8587,0.4644,0.2884,0.9990,0.9970,0.8842,0.7465,0.8111,0.7712,0.8759,0.8612,0.4568,0.1796,0.9997,0.9994,0.9334,0.7790
SVHN,0.7615,0.8176,0.8558,0.8403,0.5076,0.2560,0.9995,0.9989,0.9164,0.7798,0.7248,0.8680,0.8556,0.8380,0.5152,0.3296,0.9990,0.9972,0.8860,0.7574,0.7840,0.7680,0.8577,0.8396,0.5148,0.2116,0.9997,0.9994,0.9321,0.7916
Stanford Dogs,0.7263,0.8184,0.8412,0.8427,0.5600,0.3084,0.9995,0.9990,0.9154,0.7865,0.6972,0.8696,0.8393,0.8392,0.5528,0.3776,0.9991,0.9974,0.8859,0.7652,0.7459,0.7704,0.8434,0.8443,0.5532,0.2624,0.9997,0.9994,0.9342,0.8005
Fake CIFAR-10,0.5866,0.8144,0.6232,0.5707,0.7580,0.5740,0.9995,0.9995,0.9148,0.8128,0.5807,0.8704,0.6245,0.5546,0.7448,0.6284,0.9990,0.9988,0.8845,0.7904,0.5874,0.7712,0.6225,0.5505,0.7528,0.5416,0.9997,0.9997,0.9324,0.8283
AFHQ Dogs,0.6100,0.8160,0.7465,0.7773,0.7568,0.5216,0.9995,0.9991,0.9144,0.8426,0.5928,0.8676,0.7437,0.7726,0.7568,0.5960,0.9991,0.9982,0.8836,0.8175,0.6250,0.7652,0.7478,0.7792,0.7560,0.4592,0.9997,0.9995,0.9319,0.8628
AFHQ Cats,0.5902,0.8192,0.6783,0.6764,0.7732,0.5688,0.9995,0.9994,0.9162,0.8426,0.5756,0.8696,0.6798,0.6754,0.7776,0.6412,0.9990,0.9985,0.8844,0.8133,0.5933,0.7672,0.6773,0.6758,0.7840,0.5260,0.9997,0.9996,0.9317,0.8566
